"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"charging matt","-",724,92,-34,,,,257,127,1,1,0,0,0,0,0,0,0,"-",7,2
"butterfly charger","-",1187,178,-14,0.95,0.73,1.7,214,150,1,1,0,0,0,0,0,0,0,"-",4,2
"anker foldable charger",6,484,423,-2,1.84,1.11,2.16,306,874,1,1,1,0,0,0,0,0,0,125,19,2
"magsafe duo charger apple","-",189,103,-56,1.5,1.05,2.23,219,544,1,0,0,0,0,0,0,0,0,"-","-",2
"apple magsafe duo","-",4422,199,17,1.48,1.3,1.67,26,45,1,0,0,0,0,0,0,0,0,"-","-",2
"maggo anker",5,2051,361,12,1.2,1.11,1.29,249,176,1,1,0,0,0,0,0,0,0,"-",25,2
"anker maggo charger","-",456,173,-35,1.21,0.97,1.6,192,379,1,0,1,0,0,0,0,0,0,31,"-",2
"compact 3 in 1 charger","-",71,141,-18,,,,196,2000,1,1,0,0,0,0,0,0,0,"-",6,2
"compact charger 3 in 1","-",23,46,47,1.33,0.89,1.73,175,2000,1,1,0,0,0,0,0,0,0,"-",5,2
"anker 3-in-1","-",84,168,-39,0.87,0.79,1.21,150,2000,1,1,0,0,0,1,0,0,0,"-",6,2
"anker magsafe 3 in 1","-",355,169,-12,,,,159,476,1,1,0,0,0,0,0,0,0,"-",18,2
"magsafe travel","-",7,37,-49,,,,104,5000,1,1,0,0,0,0,0,0,0,"-",13,2
"anker travel charger 3 in 1",9,1325,551,-36,1.63,1.31,2.2,386,416,1,1,0,0,0,1,0,0,0,"-",5,2
"anker triple charger","-",646,170,20,,,,57,263,1,0,0,0,0,0,0,0,0,"-","-",2
"anker travel charging station",6,427,427,1,,,,214,1000,1,1,1,0,0,0,0,0,0,204,6,2
"anker magsafe 3 in 1 charger","-",368,186,-27,,,,101,505,1,1,0,0,0,0,0,0,0,"-",25,2
"anker black friday deals","-",11864,261,3,,,,32,22,1,0,0,0,0,0,0,0,0,"-","-",2
"3 in 1 charger anker","-",672,234,-7,,,,130,348,1,1,0,0,0,0,0,0,0,"-",4,2
"twelve south butterfly",5,14786,414,5,1.26,0.91,1.49,10,28,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo wireless charging station (foldable 3-in-1)",2,721,372,7,1.61,1.09,2.02,217,516,1,1,0,0,0,0,0,0,0,"-",12,2
"anker maggo wireless charging station",15,1321,736,2,1.31,1.01,1.78,234,557,1,1,1,0,0,0,0,0,0,27,24,2
"anker maggo wireless charging station foldable 3-in-1","-",134,69,-33,1.44,1,1.45,77,516,1,1,0,0,0,0,0,0,0,"-",4,2
"anker maggo 3 in 1","-",906,192,-12,1.04,0.95,1.42,130,212,1,1,0,0,0,0,0,0,0,"-",4,2
"apple duo charger magsafe","-",232,113,16,,,,69,487,1,1,0,0,0,0,0,0,0,"-",4,2
"butterfly 2-in-1 magsafe charger","-",417,58,11,,,,52,139,1,0,0,0,0,0,0,0,0,"-","-",2
"anker mag go wireless charging station","-",638,291,75,,,,123,456,1,1,0,0,0,0,0,0,0,"-",14,2
"anker maggo wireless charger pad","-",637,309,5,,,,212,485,1,1,1,0,0,0,0,0,0,221,3,2
"twelve south butterfly 2-in-1 magsafe charger","-",1837,158,-7,,,,54,86,1,0,0,0,0,0,0,0,0,"-","-",2
"anker foldable 3-in-1 station","-",576,285,-25,1.27,0.76,1.47,212,495,1,1,0,0,0,0,0,0,0,"-",6,2
"anker magsafe charger compatible, anker maggo 3in1 charging station, qi2 certified 15w wireless char","-",352,154,-19,,,,74,437,1,0,0,0,0,0,0,0,0,"-","-",2
"anker 15w max pocket sized 3 in 1 charger","-",3702,348,30,,,,68,94,1,1,0,0,0,0,0,0,0,"-",4,2
"anker maggo 3in1","-",329,108,-14,,,,37,328,1,1,0,0,0,1,0,0,0,"-",17,2
"anker portable charging station","-",372,372,-5,,,,252,1000,1,1,1,0,0,0,0,0,0,149,15,2
"anker 3 in one charger","-",579,114,-22,,,,93,197,1,1,0,0,0,0,0,0,0,"-",8,2
"anker 335 wireless charger | 3","-",0,24,-36,,,,81,100000,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo usb-c adapter 3-in-1, 10gbps, for iphone","-",4767,143,"-",0.9,0.69,1.12,5,30,1,0,0,0,0,0,0,0,0,"-","-",2
"anker 3 in 1 foldable","-",916,241,-6,,,,138,263,1,1,0,0,0,0,0,0,0,"-",7,2
"anker maggo charger 3 in 1","-",585,250,-32,1.44,0.97,1.63,221,427,1,1,0,0,0,0,0,0,0,"-",9,2
"anker maggo 3-in1","-",1727,221,9,,,,70,128,1,0,0,0,0,1,0,0,0,"-","-",2
"fuel foldable wireless qi2 travel charger","-",2402,245,-14,,,,132,102,1,1,0,0,0,0,0,0,0,"-",5,2
"anker maggo 3-in1 charging station","-",300,174,61,,,,119,580,1,0,0,0,0,0,0,0,0,"-","-",2
"anker magsafe maggo","-",1145,253,-7,,,,131,221,1,0,1,0,0,0,0,0,0,233,"-",2
"anker maggo usb-c adapter 3-in-1, 10gbps, for iphone boa","-",4286,90,-34,1.16,0.57,1.48,9,21,1,0,0,0,0,0,0,0,0,"-","-",2
"anker folding charger","-",408,336,35,,,,211,823,1,1,1,0,0,0,0,0,0,262,3,2
"anker 3 in 1 foldable charging station","-",208,93,-30,,,,75,447,1,0,0,0,0,0,0,0,0,"-","-",2
"anker folding charger 3 in 1 apple","-",624,247,-29,,,,237,396,1,1,0,0,0,0,0,0,0,"-",4,2
"anker foldable charger 3 in 1","-",420,152,-22,,,,252,362,1,1,0,0,0,0,0,0,0,"-",3,2
"anker maggo 8 in 1","-",2127,117,-20,,,,4,55,1,0,0,0,0,0,0,0,0,"-","-",2
"mag go 3 in 1","-",381,160,-18,,,,127,420,1,1,0,0,0,0,0,0,0,"-",4,2
"anker 3in 1 charging station","-",519,108,-47,,,,175,208,1,1,0,0,0,0,0,0,0,"-",10,2
"mag go wireless charger","-",257,257,11,,,,257,1000,1,1,1,0,0,0,0,0,0,60,3,2
"nimble 3-in-1 fold wireless charger","-",648,215,-36,,,,231,332,1,0,0,0,0,0,0,0,0,"-","-",2
"go go ufo","-",69,53,-67,,,,138,764,1,0,0,0,0,0,0,0,0,"-","-",2
"twelve south butterfly se 2-in-1 usb-c qi2 travel charger","-",4810,101,-40,,,,24,21,1,0,0,0,0,0,0,0,0,"-","-",2
"anker maggo wireless","-",746,170,-36,,,,168,228,1,1,1,0,0,0,0,0,0,138,22,2
"anker maggo 3 in 1 charger","-",553,239,-11,,,,158,432,1,1,0,0,0,0,0,0,0,"-",8,2
"anker wireless charging pad",8,728,469,-3,1.37,1.07,1.88,258,644,1,1,0,0,0,0,0,0,0,"-",3,3
"anker apple watch",8,821,591,-10,1.62,1.25,1.99,278,720,1,1,1,0,0,0,0,0,0,200,9,3
"anker travel",21,291,873,43,1.53,1.46,1.61,260,3000,1,1,1,0,0,0,0,0,0,116,3,3
"anker quick charge pad","-",398,135,-41,,,,154,339,1,0,0,0,0,0,0,0,0,"-","-",3
"anker wireless charger watch","-",589,322,-3,,,,279,547,1,1,0,0,0,0,0,0,0,"-",3,3
"magsafe duo charger",8,844,438,13,1.17,0.73,1.48,214,519,1,1,0,0,0,0,0,0,0,"-",36,3
"belkin 3 in 1 charger","-",392,153,-47,1.19,0.79,1.41,174,390,1,0,0,0,0,0,0,0,0,"-","-",3
"mophie 3-in-1 travel charger","-",967,294,11,,,,226,304,1,0,0,0,0,0,0,0,0,"-","-",3
"3-in-1 travel charger with magsafe","-",292,292,-16,1.66,1.07,1.95,257,1000,1,0,0,0,0,0,0,0,0,"-","-",3
"mophie 3-in-1 travel charger with magsafe","-",780,350,25,1.25,0.94,1.66,208,449,1,0,0,0,0,0,0,0,0,"-","-",3
"ankor iphone pro wireless double charging station magnetic foldable","-","-",0,"-",,,,96,258,1,0,0,0,0,0,0,0,0,"-","-",3
"mophie 3 in 1 travel charger magsafe","-",114,54,-46,,,,95,472,1,0,0,0,0,0,0,0,0,"-","-",3
"travel magsafe charger",17,197,591,8,1.48,0.87,1.92,361,3000,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 3 in 1 charging station apple","-",86,59,-58,,,,176,683,1,1,0,0,0,0,0,0,0,"-",46,3
"iphone travel charger 3 in 1",25,664,664,-1,1.64,0.96,1.99,356,1000,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 3-1 cube","-",866,232,18,1.43,0.85,3.66,140,268,1,1,0,0,0,0,0,0,0,"-",6,3
"anker 3-in-1 cube","-",1038,273,69,1.11,1.07,1.49,91,263,1,0,0,0,0,0,0,0,0,"-","-",3
"anker foldable 3-in-1 wireless charging station with adapter","-",24,24,5,1.46,1.08,1.84,120,1000,1,1,0,0,0,0,0,0,0,"-",9,3
"anker 3 in 1 charger",9,1885,871,50,1.61,0.93,2.28,212,462,1,1,0,0,0,0,0,0,0,"-",17,3
"3 in 1 charging station anker",4,774,397,-15,1.5,0.89,1.78,227,513,1,1,0,0,0,0,0,0,0,"-",15,3
"travel magsafe charger 3 in 1",2,553,452,3,1.48,1.03,1.91,316,817,1,0,0,0,0,0,0,0,0,"-","-",3
"anker magsafe charger 3 in 1",3,525,266,-31,1.72,1.02,2.09,184,507,1,1,0,0,0,0,0,0,0,"-",3,3
"anker 3 in one","-",856,155,-22,,,,56,181,1,1,0,0,0,0,0,0,0,"-",4,3
"magsafe 3 in 1 charger anker","-",246,130,-49,,,,190,528,1,1,0,0,0,0,0,0,0,"-",5,3
"anker 3in1","-",791,208,8,1.22,1.08,1.37,145,263,1,1,1,0,0,1,0,0,0,167,9,3
"anker mag go charger","-",813,295,7,1.26,0.95,1.59,189,363,1,1,0,0,0,0,0,0,0,"-",8,3
"anker iphone and watch charger","-",286,286,12,,,,282,1000,1,1,0,0,0,0,0,0,0,"-",15,3
"travel charger 3 in 1","-",43,300,-4,,,,281,7000,1,0,0,0,0,0,0,0,0,"-","-",3
"anker wireless charger 3 in 1","-",215,123,-24,1.35,0.98,1.74,218,573,1,1,0,0,0,0,0,0,0,"-",3,3
"journey swiv 3-in-1 foldable wireless charging station",7,1195,416,69,1.53,0.97,1.54,192,348,1,0,0,0,0,0,0,0,0,"-","-",3
"anker mag go 3 in 1",2,2482,417,-4,1.38,0.92,1.95,111,168,1,1,0,0,0,0,0,0,0,"-",2,3
"anker orb",2,17522,403,11,1.07,0.97,1.17,24,23,1,1,0,0,0,0,0,0,0,"-",2,3
"anker maggo magnetic charging station","-",174,117,-43,,,,209,672,1,0,0,0,0,0,0,0,0,"-","-",3
"anker mago 3 in 1","-",610,89,28,,,,32,146,1,1,0,0,0,0,0,0,0,"-",4,3
"anker power bank maggo",5,1095,428,14,1.38,0.93,1.53,215,391,1,1,0,0,0,0,0,0,0,"-",11,3
"anker maggo 3-in-1",17,4526,1204,-25,1.41,1.04,1.97,298,266,1,1,0,0,0,0,0,0,0,"-",2,3
"magsafe charger compatible anker maggo 3 in 1 wireless charging station qi2 certified 15w wireless s","-",93,40,-33,,,,83,431,1,0,0,0,0,0,0,0,0,"-","-",3
"anker mago wireless charging station","-",302,217,-19,1.22,0.85,1.57,156,718,1,1,1,0,0,0,0,0,0,230,12,3
"anker magsafe go","-",474,143,2,,,,92,302,1,1,1,0,0,0,0,0,0,267,27,3
"maggo 3-in-1 charging station","-",42,34,-43,,,,74,817,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe charger compatible, anker maggo 3-in-1 charging station, qi2 certified 15w wireless charger ","-",74,35,29,,,,95,474,1,0,0,0,0,0,0,0,0,"-","-",3
"12 south butterfly 2-in-1 magsafe charger","-",2350,242,7,,,,132,103,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo wireless charging station (3-in-1 pad)","-",664,300,19,,,,187,452,1,1,0,0,0,0,0,0,0,"-",17,3
"anker portable charger 3 in 1","-",559,138,-37,1.25,1.18,1.53,135,247,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 3in1 power bank","-",122,33,-35,,,,50,270,1,0,0,0,0,0,0,0,0,"-","-",3
"anker mago charger 3 in 1","-",320,148,-25,1.41,1.04,1.53,176,463,1,1,0,0,0,0,0,0,0,"-",9,3
"anker 3 in 1 portable charger",4,967,296,115,,,,124,306,1,1,0,0,0,0,0,0,0,"-",9,3
"anker charger station 3 in 1","-",53,32,-38,,,,81,600,1,1,0,0,0,0,0,0,0,"-",11,3
"anker 3-in-1 charger","-",34,68,-9,,,,137,2000,1,1,0,0,0,0,0,0,0,"-",1,3
"anker 3-in-1 magsafe cube",1,1245,397,-27,1.42,1,2.18,131,319,1,1,0,0,0,0,0,0,0,"-",4,3
"anker qi2 3 in 1","-",1101,98,-36,,,,78,89,1,0,0,0,0,0,0,0,0,"-","-",3
"anker - 3-in-1 cube with magsafe","-",1082,277,-39,1.22,0.73,1.66,175,256,1,0,0,0,0,0,0,0,0,"-","-",3
"belkin travel pad","-",2433,253,15,,,,49,104,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo 3-in1 charging station with magnetic charging for your apple ecosystem","-",137,67,32,,,,58,489,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo charging station","-",201,139,6,,,,98,692,1,0,1,0,0,0,0,0,0,201,"-",3
"anker magsafe 3-in-1","-",335,210,72,,,,175,626,1,1,0,0,0,0,0,0,0,"-",17,3
"anker charging station travel","-",168,168,-31,1.28,0.92,1.49,220,1000,1,1,1,0,0,0,0,0,0,50,4,3
"magsafe 3 in 1 anker","-",821,352,-4,,,,207,429,1,1,0,0,0,0,0,0,0,"-",11,3
"anker maggo power bank for apple watch","-",501,187,"-",,,,105,373,1,0,0,0,0,0,0,0,0,"-","-",3
"ankor mag go","-",2459,209,-18,1.1,0.79,1.28,48,85,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 3-in-1 wireless charger","-",174,173,-39,,,,226,995,1,1,0,0,0,0,0,0,0,"-",3,3
"ankermag go","-",1836,112,-12,,,,15,61,1,1,0,0,0,0,0,0,0,"-",8,3
"anker phone watch airpod charger","-",457,185,-21,,,,142,405,1,1,0,0,0,0,0,0,0,"-",11,3
"anker maggo 8-in-1","-",2824,192,-7,,,,50,68,1,0,0,0,0,0,0,0,0,"-","-",3
"journey apple rapid trio 3-in-1 wireless charging station","-",197,114,-24,,,,138,578,1,0,0,0,0,0,0,0,0,"-","-",3
"belkin travel charger",4,1011,363,-22,,,,282,359,1,0,1,0,0,0,0,0,0,301,"-",4
"anker apple","-",74,221,42,,,,142,3000,1,1,1,0,0,0,0,0,0,145,27,4
"travel charger anker","-",121,241,-11,,,,251,2000,1,1,0,0,0,1,0,0,0,"-",12,4
"twelve south charger","-",1527,200,-3,,,,84,131,1,0,0,0,0,0,0,0,0,"-","-",4
"anker portable wireless charger","-",112,112,-3,1.35,0.89,1.47,73,1000,1,0,0,0,0,0,0,0,0,"-","-",4
"anker foldable","-",170,170,-21,,,,98,1000,1,1,1,0,0,0,0,0,0,164,1,4
"anker wireless chargers",15,473,1418,65,1.35,0.93,1.62,300,3000,1,1,0,0,0,1,0,0,0,"-",15,4
"apple watch anker","-",358,298,16,,,,177,833,1,1,0,0,0,0,0,0,0,"-",1,4
"anker iphone apple watch charger","-",210,209,38,,,,129,997,1,1,0,0,0,0,0,0,0,"-",15,4
"anker cyber monday","-",3064,144,-3,0.98,0.51,1.66,18,47,1,0,0,0,0,0,0,0,0,"-","-",4
"satechi trio wireless charging pad","-",230,35,8,,,,89,152,1,0,0,0,0,0,0,0,0,"-","-",4
"wireless charging station anker","-",160,160,-6,1.52,1.11,1.75,235,1000,1,1,0,0,0,0,0,0,0,"-",9,4
"apple duo magsafe charger","-",148,77,8,1.26,0.89,1.81,141,522,1,0,0,0,0,0,0,0,0,"-","-",4
"anker mag go",27,6587,1897,-13,1.21,0.92,1.68,338,288,1,1,1,0,0,0,0,0,0,165,20,4
"mag go anker",1,1793,416,-6,1.28,0.77,1.57,144,232,1,1,0,0,0,0,0,0,0,"-",17,4
"anker mago",2,3849,458,"-",1.13,0.99,1.69,137,119,1,1,1,0,0,0,0,0,0,282,3,4
"apple charging station anker","-",328,328,-26,1.47,1.02,1.82,226,1000,1,1,0,0,0,0,0,0,0,"-",15,4
"mophie 3-in-1 magsafe travel charger","-",378,59,-6,1.27,0.94,1.53,63,156,1,0,0,0,0,0,0,0,0,"-","-",4
"magsafe travel charger",21,245,736,2,1.52,0.89,2,343,3000,1,1,1,0,0,0,0,0,0,13,4,4
"mophie travel charger 3 in 1","-",1139,328,4,,,,240,288,1,0,0,0,0,0,0,0,0,"-","-",4
"mophie 3 in 1 travel charger",1,947,267,18,,,,232,282,1,0,0,0,0,0,0,0,0,"-","-",4
"3 in one travel charger","-",37,262,12,,,,214,7000,1,1,0,0,0,0,0,0,0,"-",52,4
"anker 3 in 1 wireless charging station apple",6,517,313,6,,,,217,605,1,1,0,0,0,0,0,0,0,"-",9,4
"anker 3-in-1 cube with magsafe",2,1452,427,-10,1.54,0.99,1.88,166,294,1,1,0,0,0,0,0,0,0,"-",14,4
"anker 3 in 1 magsafe","-",277,137,-23,,,,164,495,1,1,0,0,0,0,0,0,0,"-",8,4
"ugreen 3 in 1","-",3175,308,-4,1,0.82,1.41,124,97,1,0,0,0,0,0,0,0,0,"-","-",4
"portable magsafe charger 3 in 1","-",309,260,-3,,,,262,842,1,0,0,0,0,0,0,0,0,"-","-",4
"travel magsafe","-",42,210,-18,,,,318,5000,1,1,0,0,0,0,0,0,0,"-",1,4
"anker three in one charger","-",145,145,-27,1.21,1.02,1.38,264,1000,1,1,0,0,0,0,0,0,0,"-",1,4
"travel 3 in 1 charger","-",14,101,-26,,,,265,7000,1,0,0,0,0,0,0,0,0,"-","-",4
"mag go charger","-",279,279,-7,1.47,1.15,1.7,272,1000,1,0,0,0,0,0,0,0,0,"-","-",4
"belkin travel charger 3 in 1","-",946,299,-23,,,,183,316,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 3-1 charging station",9,432,432,3,1.44,1,1.68,165,1000,1,1,0,0,0,0,0,0,0,"-",2,4
"anker maggo 3-in-1 charging station, qi2 certified 15w magsafe-compatible wireless charger stand","-",94,51,-41,,,,34,545,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 3 in 1 power bank",18,7382,1410,75,1.51,0.97,1.97,253,191,1,0,0,0,0,0,0,0,0,"-","-",4
"anker maggo wireless charging station (3-in-1 stand)","-",476,247,5,1.17,0.87,1.36,244,519,1,0,0,0,0,0,0,0,0,"-","-",4
"3 in 1 anker","-",661,160,-22,,,,105,242,1,1,0,0,0,0,0,0,0,"-",10,4
"3 in 1 anker charger","-",205,68,"-",,,,62,332,1,1,0,0,0,0,0,0,0,"-",17,4
"anker 3 in 1 charging bank","-",668,153,-17,1.13,0.8,1.43,57,229,1,1,0,0,0,0,0,0,0,"-",5,4
"anker qi2 3-in-1 magsafe charger","-",494,267,-30,,,,201,540,1,1,0,0,0,0,0,0,0,"-",28,4
"anker maggo 3-in-1 charging station with qi2","-",175,86,14,,,,63,491,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 3in 1 power bank","-",328,43,-41,,,,32,131,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 3 in 1 power bank iphone","-",817,192,15,,,,63,235,1,1,0,0,0,0,0,0,0,"-",6,4
"anker maggo 3-in-1 wireless charging station","-",48,34,-54,1.31,1.01,1.66,55,707,1,1,0,0,0,0,0,0,0,"-",9,4
"anker maggo 3-in-1 qi2 wireless charging stand",3,806,439,-13,1.52,1.04,2.11,204,545,1,1,0,0,0,0,0,0,0,"-",43,4
"anker maggo 3 in 1 qi2 wireless charging station","-",1156,207,-15,1.35,1.1,1.75,220,179,1,0,0,0,0,0,0,0,0,"-","-",4
"anker maggo 3-in-1 qi2 travel charging station","-",230,212,-2,,,,159,920,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 3-in-1 portable iphone charger","-",373,312,58,,,,180,837,1,1,0,0,0,0,0,0,0,"-",3,4
"anker maggo 3-in-1 iphone 16 charging station, magsafe-compatible wireless charger stand, qi2 certif","-",358,195,30,,,,238,544,1,1,0,0,0,0,0,0,0,"-",46,4
"anker charger magnetic 3 in 1","-",565,279,19,,,,190,494,1,1,0,0,0,0,0,0,0,"-",6,4
"mycharge 3-in-1 folding wireless charging pad","-",837,252,29,,,,237,301,1,0,0,0,0,0,0,0,0,"-","-",4
"anker power station magsafe","-",196,129,-26,,,,119,658,1,1,0,0,0,0,0,0,0,"-",11,4
"3 in one charging station anker","-",578,294,14,,,,242,509,1,1,0,0,0,0,0,0,0,"-",30,4
"3-in-1 magnetic foldable wireless charger with qi2 15w","-",643,142,-39,,,,269,221,1,0,0,0,0,0,0,0,0,"-","-",4
"anker maggo 3-in-1 iphone 16 charging station","-",96,63,-47,,,,120,654,1,1,0,0,0,0,0,0,0,"-",11,4
"anker maggo apple watch","-",466,96,-41,,,,63,206,1,0,0,0,0,0,0,0,0,"-","-",4
"limitless 3 in 1 foldable fast wireless charger","-",1413,308,34,,,,130,218,1,0,0,0,0,0,0,0,0,"-","-",4
"anker phone watch charger","-",425,271,22,,,,248,637,1,1,0,0,0,0,0,0,0,"-",11,4
"anker maggo qi2 wireless charging station","-",444,215,-10,,,,152,484,1,0,0,0,0,0,0,0,0,"-","-",4
"wireless charging pad anker","-",434,261,32,,,,156,601,1,1,0,0,0,0,0,0,0,"-",3,5
"anker apple watch charger",53,3221,2509,2,1.29,0.93,1.65,506,779,1,1,1,0,0,0,0,0,0,148,33,5
"anker charger pad","-",229,136,24,,,,32,593,1,1,0,0,0,0,0,0,0,"-",9,5
"anker iphone watch charger","-",126,101,-7,,,,116,799,1,1,0,0,0,0,0,0,0,"-",9,5
"anker iwatch charger",1,715,303,7,1.48,0.95,1.96,279,424,1,1,0,0,0,0,0,0,0,"-",14,5
"mag go",6,1173,454,-2,2.34,1.66,2.77,227,387,1,1,0,0,0,0,0,0,0,"-",23,5
"anker pods","-",1131,294,39,,,,150,260,1,0,0,0,0,0,0,0,0,"-","-",5
"apple certified magsafe charger","-",107,213,-22,1.46,0.9,1.48,262,2000,1,0,0,0,0,0,0,0,0,"-","-",5
"magsafe duo",1,2986,412,1,1.2,0.83,1.79,117,138,1,0,0,0,0,0,0,0,0,"-","-",5
"anker apple charging station",5,483,483,-16,1.76,1.39,1.87,288,1000,1,1,0,0,0,0,0,0,0,"-",3,5
"anker maggo",190,44584,10923,-4,1.07,0.85,1.6,335,245,1,1,1,0,0,0,0,0,0,124,15,5
"anker portable charger magsafe",16,1166,737,32,1.41,0.92,1.87,229,632,1,1,0,0,0,0,0,0,0,"-",7,5
"3 in 1 travel charger",11,65,458,-4,1.19,0.91,1.68,348,7000,1,1,0,0,0,0,0,0,0,"-",18,5
"belkin 3 in 1 boost charge pro","-",483,144,-8,1.45,1.03,1.66,43,298,1,0,0,0,0,0,0,0,0,"-","-",5
"magsafe charger travel",14,145,434,2,1.36,1,1.56,294,3000,1,1,0,0,0,0,0,0,0,"-",15,5
